CMPD_CHEMBLID	MOLREGNO	PARENT_CMPD_CHEMBLID	PARENT_MOLREGNO	MOL_PREF_NAME	COMPOUND_KEY	MOLWEIGHT	ALOGP	PSA	NUM_RO5_VIOLATIONS	CANONICAL_SMILES	ACTIVITY_ID	STANDARD_TYPE	RELATION	STANDARD_VALUE	STANDARD_UNITS	PCHEMBL_VALUE	PUBLISHED_TYPE	PUBLISHED_RELATION	PUBLISHED_VALUE	PUBLISHED_UNITS	ACTIVITY_COMMENT	DATA_VALIDITY_COMMENT	POTENTIAL_DUPLICATE	BAO_ENDPOINT	UO_UNITS	QUDT_UNITS	ASSAY_ID	ASSAY_CHEMBLID	ASSAY_TYPE	DESCRIPTION	ASSAY_SRC_ID	ASSAY_SRC_DESCRIPTION	ASSAY_ORGANISM	ASSAY_STRAIN	ASSAY_TAX_ID	CURATED_BY	BAO_FORMAT	TID	TARGET_CHEMBLID	TARGET_TYPE	PROTEIN_ACCESSION	PREF_NAME	ORGANISM	CONFIDENCE_SCORE	TARGET_MAPPING	APD_NAME	APD_CONFIDENCE	DOC_ID	DOC_CHEMBLID	PUBMED_ID	JOURNAL	YEAR	VOLUME	ISSUE	FIRST_PAGE	CELL_ID	CELL_CHEMBL_ID	CELL_NAME
CHEMBL28394	35080	CHEMBL28394	35080		4	296.23	4.14	3.24	0	CN1C2CCC1[C@@H](\C=C\Cl)[C@H](C2)c3ccc(Cl)cc3	194056	IC50	=	1.3	nM	8.89	IC50	=	1.3	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	62817	CHEMBL674129	F	Inhibitory concentration against [3H]dopamine uptake	1	Scientific Literature				Expert	BAO_0000019	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			665	CHEMBL1159182		Bioorg. Med. Chem. Lett.	1993	3	6	1327			
CHEMBL494624	486607	CHEMBL1187241	661191		8b	419.58	5.05	3.24	1	Cl.CN1[C@H]2CC[C@@H]1[C@H](C=C(Br)Br)[C@H](C2)c3ccc(Cl)cc3	2356549	IC50	=	1.4	nM	8.85	IC50	=	1.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	556593	CHEMBL958092	B	Displacement of [3H]WIN-35428 from dopamine transporter	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			42065	CHEMBL1150295	18434164	Bioorg. Med. Chem.	2008	16	10	5529			
CHEMBL300226	77792	CHEMBL300226	77792		4	385.24	3.16	29.54	0	COC(=O)C1C2CC[C@H](C[C@@H]1c3ccc(I)cc3)N2C	897447	IC50	=	1.6	nM	8.8	IC50	=	1.6	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61490	CHEMBL672392	B	Compounds binding ability to dopamine transporter was evaluated by displacing [3H]beta-CFT in baboon brain	1	Scientific Literature	Papio hamadryas		9557	Autocuration	BAO_0000019	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			11865	CHEMBL1126725	8515428	J. Med. Chem.	1993	36	13	1914			
CHEMBL312037	133158	CHEMBL312037	133158		2b, RTI-32	273.37	3.07	29.54	0	COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c3ccc(C)cc3)N2C	1846582	IC50	=	1.7	nM	8.77	IC50	=	1.7	nM			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	431028	CHEMBL915898	B	Displacement of [3H]WIN-35428 from DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			35371	CHEMBL1140295	16279803	J. Med. Chem.	2005	48	23	7437			
CHEMBL227757	377055	CHEMBL227757	377055		5c	331.26	4.39	51.6	0	COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(Cl)c(Cl)c3)S2	2092117	IC50	=	2	nM	8.7	IC50	=	2	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	469464	CHEMBL948023	B	Displacement of [3H]WIN-35428 from human DAT expressed in transfected cell membrane	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	38858	CHEMBL1143239	18053732	Bioorg. Med. Chem.	2008	16	4	1832			
CHEMBL1683877	1074080	CHEMBL1683877	1074080		17	312.28	5.6	3.24	1	Clc1ccc(cc1Cl)C2(CN3CCCC3)CCCCC2	5238212	IC50	=	2	nM	8.7	IC50	=	2	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	726928	CHEMBL1686717	B	Inhibition of human recombinant dopamine transporter	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	55746	CHEMBL1681686	21310609	Bioorg. Med. Chem. Lett.	2011	21	5	1438			
CHEMBL334577	218272	CHEMBL334577	218272		28	348.83	3.93	35.83	0	OC1(N2CCCN=C2c3c1ccc4ccccc34)c5ccc(Cl)cc5	432208	IC50	=	2.1	nM	8.68	IC50	=	2.1	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61495	CHEMBL672989	B	Ability to displace [3H]WIN-35428 from dopamine transporter on guinea pig striatal membrane.	1	Scientific Literature	Cavia porcellus		10141	Expert	BAO_0000019	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			16614	CHEMBL1135776	12213054	J. Med. Chem.	2002	45	19	4110			
CHEMBL316342	144548	CHEMBL316342	144548		7g (O-1066)	315.19	3.64	35.53	0	COC(=O)C1C2CCC(CC1c3ccc(Cl)c(Cl)c3)O2	556818	IC50	=	2.34	nM	8.63	IC50	=	2.34	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61358	CHEMBL673260	B	Inhibition of [3H]WIN-35428 binding to the dopamine transporter (DAT) in monkey caudate-putamen.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			14058	CHEMBL1130119	9276012	J. Med. Chem.	1997	40	17	2661			
CHEMBL570593	574799	CHEMBL570593	574799		12	446.54	1.6	102.57	0	CC(C)(Cc1ccc2ccccc2c1)NC[C@@H](O)COc3ccc(CCC(=O)O)cc3C#N	2935469	IC50	=	2.8	nM	8.55	IC50	=	2.8	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	591456	CHEMBL1055308	B	Inhibition of DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			48507	CHEMBL1154613	19821575	J. Med. Chem.	2009	52	21	6599			
CHEMBL84680	143141	CHEMBL84680	143141		11b	307.39	3.65	29.54	0	COC(=O)C1=C(CC2CCC1N2C)c3ccc4ccccc4c3	514050	IC50	=	2.9	nM	8.54	IC50	=	2.9	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61356	CHEMBL673258	B	Inhibition of [3H]WIN-35428 binding to the dopamine transporter in cynomolgus (macaca fascicularis) monkey caudate putamen.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			15550	CHEMBL1133606	10956207	J. Med. Chem.	2000	43	16	2982			
CHEMBL562115	556663	CHEMBL562115	556663		2, PR04.MZ	329.41	4.06	29.54	0	COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1c3ccc(C)cc3)N2CC#CCF	2692362	IC50	=	3	nM	8.52	IC50	=	3	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	579693	CHEMBL1053207	B	Inhibition of human dopamine transporter	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	47937	CHEMBL1152377	19525112	Bioorg. Med. Chem. Lett.	2009	19	15	4343			
CHEMBL469888	447748	CHEMBL1186565	660515		2h	388.5	5.41	38.5	1	Cl.COc1ccc(cc1)c2cc(on2)[C@@H]3C4CCC(C[C@@H]3c5ccc(C)cc5)N4C	2452644	IC50	=	3.93	nM	8.41	IC50	=	3.93	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	492350	CHEMBL948346	B	Displacement of [3H]WIN-35428 from DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			43750	CHEMBL1155007	18556210	Bioorg. Med. Chem.	2008	16	14	6682			
CHEMBL470690	447745	CHEMBL1186581	660531		2e	392.92	6.09	29.27	1	Cl.CN1C2CCC1[C@H]([C@H](C2)c3ccc(Cl)cc3)c4onc(c4)c5ccc(C)cc5	2452647	IC50	=	4.09	nM	8.39	IC50	=	4.09	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	492350	CHEMBL948346	B	Displacement of [3H]WIN-35428 from DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			43750	CHEMBL1155007	18556210	Bioorg. Med. Chem.	2008	16	14	6682			
CHEMBL549825	561832	CHEMBL549825	561832		8a, enantiomer 1	337.24	3.76	34.15	0	Clc1cccc(OC([C@@H]2CCCNC2)c3cccnc3)c1Cl	2674514	IC50	=	6	nM	8.22	IC50	=	6	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	575207	CHEMBL1024554	B	Inhibition of [3H]DA uptake at human DAT expressed in HEK293 cells	1	Scientific Literature	Homo sapiens		9606	Intermediate	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	47532	CHEMBL1151858	19359175	Bioorg. Med. Chem. Lett.	2009	19	10	2829	722	CHEMBL3307715	HEK293
CHEMBL574081	569066	CHEMBL574081	569066		5	289.37	2.57	38.76	0	COC(=O)[C@@H]1C2CCC(C[C@@H]1c3ccc(OC)cc3)N2C	2918208	IC50	=	6.5	nM	8.19	IC50	=	6.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	587777	CHEMBL1040428	B	Displacement of [3H]WIN-35428 from DAT	1	Scientific Literature				Intermediate	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			48405	CHEMBL1154083	19523837	Bioorg. Med. Chem.	2009	17	14	5126			
CHEMBL364146	311116	CHEMBL364146	311116		4e	386.25	3.79	51.6	0	COC(=O)C1=C(CC2CCC1S2)c3ccc(I)cc3	1459594	IC50	=	6.7	nM	8.17	IC50	=	6.7	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	305747	CHEMBL829419	B	Inhibition of [3H]WIN-35428 binding to human dopamine transporter (hDAT)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	20342	CHEMBL1138717	15546718	Bioorg. Med. Chem. Lett.	2004	14	24	6007			
CHEMBL218847	365759	CHEMBL218847	365759		(RR/SS)-10c	251.79	4.53	12.03	0	CCCC(C1CCCCN1)c2ccc(Cl)cc2	1801950	IC50	=	7.4	nM	8.13	IC50	=	7.4	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	423468	CHEMBL911125	B	Inhibition of [3H]DA uptake at human DAT expressing HEK293 cells	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	34825	CHEMBL1139231	17228864	J. Med. Chem.	2007	50	2	219	722	CHEMBL3307715	HEK293
CHEMBL3323090	1785660	CHEMBL3323090	1785660		3b	263.33	3.63	16.38	0	CN1CC(c2ccc3ccoc3c2)c4ccccc4C1	15025720	IC50	=	7.5	nM	8.12	IC50	=	7.5	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	1450411	CHEMBL3379355	B	Displacement of [3H]WIN 35,428 from human DAT expressed in HEK293E cells after 1 hr by liquid scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	90560	CHEMBL3351632	25050161	ACS Med. Chem. Lett.	2014	5	7	760			
CHEMBL365092	311350	CHEMBL365092	311350		4g	310.41	4.12	51.6	0	COC(=O)C1=C(CC2CCC1S2)c3ccc4ccccc4c3	1459600	IC50	=	8	nM	8.1	IC50	=	8	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	305747	CHEMBL829419	B	Inhibition of [3H]WIN-35428 binding to human dopamine transporter (hDAT)	1	Scientific Literature	Homo sapiens		9606	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	20342	CHEMBL1138717	15546718	Bioorg. Med. Chem. Lett.	2004	14	24	6007			
CHEMBL2111614	1383865	CHEMBL2111614	1383865		7a	313.22	4.89	26.3	0	COC(=O)[C@H]1C2CCC(C2)C[C@@H]1c3ccc(Cl)c(Cl)c3	522972	IC50	=	9.6	nM	8.02	IC50	=	9.6	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61357	CHEMBL673259	B	Inhibition of [3H]WIN-35428 binding to the dopamine transporter in cynomolgus (macaca fascicularis) monkey caudate putamen.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			15550	CHEMBL1133606	10956207	J. Med. Chem.	2000	43	16	2982			
CHEMBL90903	145063	CHEMBL90903	145063		6c (O-916)	280.75	2.98	35.53	0	COC(=O)C1C2CCC(CC1c3ccc(Cl)cc3)O2	588438	IC50	=	10	nM	8	IC50	=	10	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61358	CHEMBL673260	B	Inhibition of [3H]WIN-35428 binding to the dopamine transporter (DAT) in monkey caudate-putamen.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			14058	CHEMBL1130119	9276012	J. Med. Chem.	1997	40	17	2661			
CHEMBL1813317	1168349	CHEMBL1813317	1168349		21b, enantiomer	298.25	4.94	3.24	0	CCN1C[C@@H]2CCCC[C@@]2(C1)c3ccc(Cl)c(Cl)c3	6303966	IC50	=	10	nM	8	pIC50	=	8				0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	761204	CHEMBL1816474	B	Inhibition of dopamine reuptake at DAT expressed in CHO-K1 cells	1	Scientific Literature				Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			58566	CHEMBL1811752	21739935	J. Med. Chem.	2011	54	15	5283	485	CHEMBL3307512	CHO-K1
CHEMBL2079586	1363817	CHEMBL2079586	1363817		12c	277.33	2.79	29.54	0	COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(F)cc3)N2C	549220	IC50	=	11	nM	7.96	IC50	=	11	nM			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61357	CHEMBL673259	B	Inhibition of [3H]WIN-35428 binding to the dopamine transporter in cynomolgus (macaca fascicularis) monkey caudate putamen.	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			15550	CHEMBL1133606	10956207	J. Med. Chem.	2000	43	16	2982			
CHEMBL1812742	1167768	CHEMBL1812742	1167768		4d	392.92	6.09	29.27	1	CN1[C@H]2CC[C@@H]1[C@H]([C@H](C2)c3ccc(C)cc3)c4onc(c4)c5ccc(Cl)cc5	6312622	IC50	=	11	nM	7.96	IC50	=	11	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	760468	CHEMBL1815453	B	Inhibition of human DAT expressed in HEK293 cells assessed as inhibition of [3H]DA reuptake after 10 mins by scintillation counting	1	Scientific Literature	Homo sapiens		9606	Autocuration	BAO_0000219	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	9	Protein	SNF	high	58449	CHEMBL1811897	21058665	J. Med. Chem.	2010	53	23	8345	722	CHEMBL3307715	HEK293
CHEMBL2079586	1363817	CHEMBL2079586	1363817		4a	277.33	2.79	29.54	0	COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(F)cc3)N2C	652366	IC50	=	11	nM	7.96	IC50	=	11	nM			0	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61352	CHEMBL673254	B	Inhibition of [3H]3-beta-(4-fluorophenyl)tropane-2beta-carboxylic acid methyl ester binding to dopamine transporter of cynomolgus monkey striatum	1	Scientific Literature	monkey		9541	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			12231	CHEMBL1126629	8464040	J. Med. Chem.	1993	36	7	855			
CHEMBL2079586	1363817	CHEMBL2079586	1363817		13c	277.33	2.79	29.54	0	COC(=O)[C@@H]1[C@H]2CC[C@H](C[C@@H]1c3ccc(F)cc3)N2C	769206	IC50	=	11	nM	7.96	IC50	=	11	nM			1	BAO_0000190	UO_0000065	http://www.openphacts.org/units/Nanomolar	61359	CHEMBL673261	B	Inhibition of [3H]WIN-35428 binding to Dopamine transporter in rhesus (Macaca mulatta) or cynomolgus monkey (Macaca fascicularis) caudate-putamen	1	Scientific Literature	Cercopithecidae		9527	Expert	BAO_0000357	155	CHEMBL238	SINGLE PROTEIN	Q01959	Dopamine transporter	Homo sapiens	8	Homologous protein			16050	CHEMBL1134553	11472216	J. Med. Chem.	2001	44	16	2619			
